Instance Type;GPUs;vCPU;Memory (GiB);Storage (GB);Networking Performance;Physical Processor;Clock Speed (GHz);Intel AVX;Intel AVX2;Intel Turbo;EBS OPT;Enhanced Network;EU (Frankfurt);Asia Pacific (Singapore);US East (Ohio);Asia Pacific (Seoul);AWS GovCloud (US);EU (Ireland);US East (N. Virginia);US West (Oregon);Asia Pacific (Tokyo);South America (Sao Paulo);EU (London);Asia Pacific (Sydney);Canada (Central);Asia Pacific (Mumbai);US West (N. California);EU (Paris);Asia Pacific (Osaka-Local)
r5.12xlarge;r5.12xlarge;48;384 GiB;EBS only;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;24.0750000000;24.0750000000;3.1740000000;3.7780000000;5.8320000000;23.7950000000;3.3550000000;23.2320000000;3.7980000000;;4.3630000000;3.7540000000;9.0720000000;;9.3220000000;21.7650000000;
m4.large;m4.large;2;8 GiB;EBS only;Moderate;Intel Xeon E5-2676 v3 (Haswell);2.4 GHz;-;-;-;-;Yes;0.6920000000;0.1250000000;0.1676000000;0.6153000000;0.2180000000;0.2221000000;0.1100000000;0.1000000000;0.7139000000;0.7469000000;0.1760000000;0.1850000000;0.1821000000;0.2155000000;0.2207000000;;0.2019000000
r3.large;r3.large;2;15.25 GiB;1 x 32 SSD;Moderate;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;0.6800000000;0.2680000000;0.3860000000;1.0290000000;0.2190000000;0.2530000000;0.3860000000;0.2260000000;0.2600000000;0.3500000000;;0.2680000000;;0.2090000000;0.2710000000;;0.2680000000
i2.8xlarge;i2.8xlarge;32;244 GiB;8 x 800 SSD;10 Gigabit;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;9.0640000000;11.9840000000;7.7820000000;10.0600000000;8.1840000000;7.6020000000;18.8240000000;6.8200000000;8.5490000000;;;8.2700000000;;7.7330000000;8.0450000000;;
c5.18xlarge;c5.18xlarge;72;144 GiB;EBS only;25 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;6.8040000000;33.8400000000;15.0120000000;4.6730000000;15.6240000000;6.7680000000;30.0600000000;33.3720000000;3.8520000000;4.7160000000;12.2760000000;4.0960000000;15.3000000000;11.7000000000;3.8160000000;15.5880000000;
i3.xlarge;i3.xlarge;4;30.5 GiB;1 x 950 NVMe SSD;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;2.0560000000;2.0580000000;0.9760000000;0.4340000000;0.6310000000;0.4440000000;1.8430000000;0.4030000000;0.5030000000;2.3130000000;0.8420000000;0.5950000000;0.8580000000;0.4890000000;1.8440000000;2.0820000000;0.5870000000
c3.8xlarge;c3.8xlarge;32;60 GiB;2 x 320 SSD;10 Gigabit;Intel Xeon E5-2680 v2 (Ivy Bridge);2.8 GHz;-;-;-;-;Yes;10.4010000000;2.1170000000;;1.8390000000;8.8590000000;4.3320000000;6.0000000000;2.2880000000;15.5150000000;6.9280000000;;2.2170000000;;;15.3840000000;;2.6560000000
c5d.9xlarge;c5d.9xlarge;36;72 GiB;1 x 900 NVMe SSD;10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;17.2860000000;2.0160000000;1.8320000000;17.2630000000;2.0880000000;17.1180000000;6.1520000000;1.8320000000;2.4750000000;;2.2000000000;3.0150000000;2.0380000000;;6.4800000000;;
r3.2xlarge;r3.2xlarge;8;61 GiB;1 x 160 SSD;High;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;1.9970000000;0.9350000000;0.8660000000;1.7600000000;0.8780000000;3.8140000000;0.6650000000;2.7400000000;1.7800000000;1.6750000000;;1.7600000000;;3.7600000000;0.8150000000;;0.9350000000
m5.large;m5.large;2;8 GiB;EBS only;Up to 10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;0.5950000000;0.2120000000;0.1940000000;0.2100000000;0.6930000000;0.2140000000;0.6740000000;0.0960000000;0.1240000000;0.2450000000;0.1790000000;0.2880000000;0.5930000000;0.1930000000;0.2120000000;0.2120000000;
z1d.3xlarge;z1d.3xlarge;12;96 GiB;1 x 450 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8151;;-;-;-;-;-;;1.3560000000;;;;2.6880000000;2.6230000000;1.3330000000;2.8850000000;;;;;;6.3950000000;;
c4.2xlarge;c4.2xlarge;8;15 GiB;EBS only;High;Intel Xeon E5-2666 v3 (Haswell);2.9 GHz;-;-;-;-;Yes;3.0750000000;0.5080000000;3.0190000000;0.4540000000;1.0360000000;3.4970000000;0.8060000000;3.0590000000;0.9220000000;3.6200000000;0.9850000000;3.5200000000;0.4820000000;0.5000000000;3.4960000000;;0.6040000000
r5d.4xlarge;r5d.4xlarge;16;128 GiB;2 x 300 NVMe SSD;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;3.3040000000;1.5420000000;3.1410000000;2.4730000000;;1.5500000000;1.8880000000;1.9570000000;2.4830000000;;3.2720000000;3.3120000000;8.0760000000;;1.5050000000;;
t2.2xlarge;t2.2xlarge;8;32 GiB;EBS only;Moderate;Intel Xeon Family;Up to 3.0 GHz;-;-;-;-;-;0.4288000000;3.4672000000;0.4332000000;0.6638000000;0.4352000000;0.4032000000;0.5742000000;3.4332000000;0.5484000000;0.7252000000;0.4844000000;3.4672000000;0.4716000000;3.3968000000;0.5036000000;0.4224000000;0.5484000000
r3.xlarge;r3.xlarge;4;30.5 GiB;1 x 80 SSD;Moderate;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;1.9400000000;1.9400000000;0.4660000000;0.6230000000;0.4590000000;2.0550000000;0.4660000000;0.4330000000;1.9400000000;0.7680000000;;0.3990000000;;2.0630000000;1.9070000000;;0.5080000000
m5d.xlarge;m5d.xlarge;4;16 GiB;1 x 150 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;0.4740000000;0.3820000000;0.7200000000;0.9590000000;0.3460000000;0.3290000000;1.7400000000;0.2940000000;0.3110000000;;1.9460000000;0.9670000000;1.7520000000;;0.4500000000;;
m5.12xlarge;m5.12xlarge;48;192 GiB;EBS only;10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;3.0470000000;3.6910000000;2.3040000000;10.8000000000;6.1130000000;5.7590000000;3.1150000000;22.6520000000;3.7870000000;3.8780000000;8.6020000000;3.0700000000;5.7420000000;20.4240000000;5.0880000000;2.8680000000;
i3.8xlarge;i3.8xlarge;32;244 GiB;4 x 1900 NVMe SSD;10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;3.3740000000;3.3910000000;6.3360000000;16.6930000000;16.7810000000;2.8520000000;14.4960000000;16.2180000000;4.4000000000;4.5760000000;3.2860000000;3.1220000000;8.3390000000;16.3040000000;6.5920000000;6.7360000000;4.4000000000
g3.16xlarge;g3.16xlarge;64;488 GiB;EBS only;20 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;Yes;Yes;Yes;-;Yes;5.7000000000;9.6240000000;4.5600000000;;5.4100000000;7.7840000000;7.5040000000;4.6600000000;6.4500000000;;;7.0160000000;5.7640000000;;6.2360000000;;
i3.large;i3.large;2;15.25 GiB;1 x 475 NVMe SSD;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;0.3680000000;0.3060000000;0.2640000000;0.2830000000;0.7600000000;0.1720000000;0.6360000000;0.6520000000;0.6630000000;0.8870000000;0.2670000000;0.2870000000;0.2890000000;0.7670000000;0.2720000000;0.2590000000;0.3010000000
x1e.8xlarge;x1e.8xlarge;32;976 GiB;1 x 960 SSD;Up to 10 Gigabit;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;Yes;-;Yes;22.8080000000;;;;10.0130000000;10.2720000000;6.8020000000;20.8110000000;10.7390000000;;;9.8020000000;;;;;
m5.xlarge;m5.xlarge;4;16 GiB;EBS only;Up to 10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;0.2460000000;1.9240000000;0.3040000000;1.7500000000;0.3020000000;0.2280000000;0.2710000000;0.2040000000;1.7640000000;0.3740000000;0.3370000000;0.7360000000;0.2950000000;0.3860000000;0.2920000000;0.7040000000;
m3.xlarge;m3.xlarge;4;15 GiB;2 x 40 SSD;High;Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge);2.5 GHz;-;-;-;-;-;1.8160000000;0.4600000000;;0.5023250000;0.3700000000;0.2930000000;1.7680000000;0.3260000000;0.7280000000;0.4810000000;;0.6860000000;;;0.6160000000;;0.9020000000
c5.large;c5.large;2;4 GiB;EBS only;Up to 10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;0.0970000000;0.2040000000;0.6620000000;0.1020000000;0.2080000000;0.1940000000;0.1450000000;0.1850000000;0.2740000000;0.7120000000;0.5810000000;0.5980000000;0.0930000000;0.1500000000;0.1130000000;0.6800000000;
x1.16xlarge;x1.16xlarge;64;976 GiB;1 x 1920 SSD;High;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;Yes;-;Yes;10.4190000000;37.5820000000;6.7690000000;36.6150000000;19.4270000000;8.1330000000;7.7510000000;7.3360000000;18.3180000000;41.2500000000;16.9230000000;17.3510000000;11.0140000000;33.1870000000;;10.3250000000;
t2.xlarge;t2.xlarge;4;16 GiB;EBS only;Moderate;Intel Xeon Family;Up to 3.0 GHz;-;-;-;-;-;0.3268000000;0.3336000000;0.2456000000;0.2904000000;0.2176000000;0.3140000000;0.2856000000;0.1856000000;0.2842000000;0.3976000000;0.2788000000;0.3012000000;0.2648000000;0.2394000000;0.2208000000;0.3112000000;1.7842000000
c5d.2xlarge;c5d.2xlarge;8;16 GiB;1 x 200 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;1.4040000000;3.4480000000;0.8870000000;1.7680000000;1.7920000000;0.5950000000;0.5070000000;3.7750000000;3.8560000000;;0.4600000000;0.6390000000;0.5860000000;;1.4400000000;;
t2.medium;t2.medium;2;4 GiB;EBS only;Low to Moderate;Intel Xeon Family;Up to 3.3 GHz;-;-;-;-;-;0.1136000000;0.1184000000;0.1140000000;0.0756000000;0.1144000000;0.0500000000;0.1140000000;0.1358000000;0.0788000000;0.1638000000;0.1204000000;0.0764000000;0.0692000000;0.1172000000;0.0552000000;0.1528000000;0.1608000000
c3.xlarge;c3.xlarge;4;7.5 GiB;2 x 40 SSD;Moderate;Intel Xeon E5-2680 v2 (Ivy Bridge);2.8 GHz;-;-;-;-;Yes;0.7380000000;0.3920000000;;0.5094500000;0.0200000000;0.3320000000;1.8940000000;0.2100000000;0.2550000000;0.7230000000;;0.5960000000;;;0.0200000000;;0.7360000000
g2.8xlarge;g2.8xlarge;32;60 GiB;2 x 120 SSD;10 Gigabit;Intel Xeon E5-2670 (Sandy Bridge);2.6 GHz;-;-;-;-;-;3.3660000000;4.2780000000;;5.0640000000;;2.9080000000;2.7300000000;2.7000000000;17.0640000000;;;3.6920000000;;;2.9380000000;;
i2.4xlarge;i2.4xlarge;16;122 GiB;4 x 800 SSD;High;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;4.4560000000;4.4770000000;3.6820000000;4.2740000000;0.1000000000;9.7520000000;10.1460000000;3.5400000000;4.4020000000;0.1000000000;;4.7500000000;;5.3840000000;4.6550000000;;
m5d.large;m5d.large;2;8 GiB;1 x 75 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;0.1450000000;0.6210000000;0.2200000000;0.7110000000;0.2120000000;0.2260000000;0.1130000000;0.1870000000;0.2380000000;;0.6110000000;0.2100000000;0.1260000000;;0.2420000000;;
z1d.6xlarge;z1d.6xlarge;24;192 GiB;1 x 900 NVMe SSD;10 Gigabit;Intel Xeon Platinum 8151;;-;-;-;-;-;;6.8590000000;;;;2.9020000000;3.3360000000;6.3500000000;3.2950000000;;;;;;6.5160000000;;
r4.2xlarge;r4.2xlarge;8;61 GiB;EBS only;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;3.7040000000;3.7040000000;0.7204000000;2.0320000000;0.8320000000;0.7820000000;0.9530000000;0.5320000000;1.6640000000;4.1200000000;0.6240000000;0.8392000000;0.5840000000;0.7028000000;3.6512000000;0.6240000000;4.0080000000
r4;r4;64;NA;NA;NA;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;-;5.6340000000;5.6320000000;4.6820000000;5.6320000000;5.6180000000;5.2170000000;4.6820000000;4.6820000000;5.6320000000;9.8560000000;;5.6180000000;;4.8220000000;5.2170000000;5.4910000000;5.6320000000
m5d.4xlarge;m5d.4xlarge;16;64 GiB;2 x 300 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;1.3580000000;7.8640000000;1.1740000000;1.2120000000;1.9550000000;7.7440000000;1.0890000000;6.9590000000;7.2450000000;;1.7840000000;2.1420000000;7.0690000000;;2.0700000000;;
t2.nano;t2.nano;1;0.5 GiB;EBS only;Low;Intel Xeon Family;Up to 3.3 GHz;-;-;-;-;-;0.0167000000;0.0073000000;0.0058000000;0.0072000000;0.0068000000;0.0086000000;0.0081000000;0.0081000000;0.0099000000;0.0093000000;0.0089000000;0.0096000000;0.0064000000;0.0085000000;0.0069000000;0.0089000000;0.0076000000
m3.medium;m3.medium;1;3.75 GiB;1 x 4 SSD;Moderate;Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge);2.5 GHz;-;-;-;-;-;0.5590000000;0.3920000000;;0.0910000000;0.0920000000;0.1420000000;0.1400000000;0.1270000000;0.0960000000;0.1050000000;;0.1720000000;;;0.0850000000;;0.1640000000
h1.16xlarge;h1.16xlarge;64;256 GiB;8 x 2000 HDD;25 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;;;4.4000000000;;;15.5120000000;4.4000000000;3.7440000000;;;;;;;;;
t3.xlarge;t3.xlarge;4;16 GiB;EBS only;Moderate;Intel Skylake E5 2686 v5 (2.5 GHz);;-;-;-;-;-;1.6920000000;0.2112000000;0.7200000000;0.3492000000;0.1952000000;0.2424000000;0.1664000000;0.2340000000;0.2912000000;0.3288000000;1.6888000000;1.7848000000;0.6656000000;;0.7520000000;0.2564000000;
t3.micro;t3.micro;2;1 GiB;EBS only;Low to Moderate;Intel Skylake E5 2686 v5 (2.5 GHz);;-;-;-;-;-;0.0212000000;0.0732000000;0.0704000000;0.0806000000;0.0122000000;0.0114000000;0.0780000000;0.0872000000;0.0136000000;0.0844000000;0.0794000000;0.0808000000;0.0116000000;;0.0124000000;0.0210000000;
p2.8xlarge;p2.8xlarge;32;488 GiB;EBS only;10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;13.1410000000;15.1180000000;7.2000000000;11.8200000000;8.7700000000;8.6840000000;8.0500000000;8.0200000000;13.6700000000;;;15.0420000000;;15.2480000000;;;
f1.4xlarge;f1.4xlarge;16;244 GiB;1 x 940 GB;10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);;-;-;-;-;-;;;;;4.4860000000;4.0930000000;3.4000000000;3.4000000000;;;;;;;4.3090000000;;
c4.4xlarge;c4.4xlarge;16;30 GiB;EBS only;High;Intel Xeon E5-2666 v3 (Haswell);2.9 GHz;-;-;-;-;Yes;1.1820000000;0.9240000000;7.6120000000;1.6430000000;1.0580000000;1.7320000000;0.9260000000;0.8960000000;7.8450000000;2.0940000000;6.1920000000;2.2610000000;6.8800000000;6.8000000000;1.8330000000;;1.1080000000
m1.xlarge;m1.xlarge;4;15 GiB;4 x 420;High;Intel Xeon Family;;-;-;-;Yes;-;;0.4670000000;;;0.5250000000;0.3790000000;0.8300000000;0.9130000000;0.8300000000;1.0670000000;;0.6140000000;;;0.4790000000;;
m1.medium;m1.medium;1;3.75 GiB;1 x 410;Moderate;Intel Xeon Family;;-;-;-;-;-;;0.1770000000;;;0.1060000000;0.8180000000;0.1490000000;0.1960000000;0.2370000000;0.8950000000;;0.8180000000;;;0.8400000000;;
h1.8xlarge;h1.8xlarge;32;128 GiB;4 x 2000 HDD;10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;;;13.9930000000;;;4.2320000000;2.3420000000;3.8140000000;;;;;;;;;
x1e.xlarge;x1e.xlarge;4;122 GiB;1 x 120 SSD;Up to 10 Gigabit;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;-;-;Yes;1.3840000000;;;;1.0000000000;1.1600000000;0.9020000000;1.3140000000;3.0140000000;;;1.6890000000;;;;;
d2.xlarge;d2.xlarge;4;30.5 GiB;3 x 2000 HDD;Moderate;Intel Xeon E5-2676v3 (Haswell);2.4 GHz;-;-;-;-;Yes;0.9390000000;0.8700000000;0.6900000000;2.6120000000;0.9760000000;2.2350000000;0.7900000000;0.8690000000;2.4280000000;;2.3490000000;1.0230000000;2.3350000000;2.5110000000;0.9190000000;1.0330000000;1.0280000000
p3.16xlarge;p3.16xlarge;64;488 GiB;EBS only;25 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;30.5840000000;39.8480000000;27.4240000000;39.8480000000;29.3760000000;29.3840000000;24.6100000000;24.5800000000;41.9440000000;;28.8120000000;39.9780000000;26.9280000000;;;;
i3.metal;i3.metal;72;512 GiB;8 x 1900 NVMe SSD;25 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);;-;-;-;-;-;16.5760000000;;28.9920000000;;;5.6340000000;5.0920000000;28.9920000000;;;8.7360000000;;;;;;
c4.8xlarge;c4.8xlarge;36;60 GiB;EBS only;10 Gigabit;Intel Xeon E5-2666 v3 (Haswell);2.9 GHz;-;-;-;-;Yes;2.4320000000;1.8480000000;16.7470000000;16.9710000000;3.5710000000;1.9410000000;1.6910000000;1.5910000000;2.1160000000;2.6000000000;2.0020000000;2.2150000000;6.0800000000;1.7300000000;2.1230000000;;17.1720000000
t2.micro;t2.micro;1;1 GiB;EBS only;Low to Moderate;Intel Xeon Family;Up to 3.3 GHz;-;-;-;-;-;0.0700000000;0.0746000000;0.0792000000;0.0744000000;0.0182000000;0.0172000000;0.0162000000;0.0162000000;0.0828000000;0.0186000000;0.0808000000;0.0822000000;0.0228000000;0.0800000000;0.0138000000;0.0888000000;0.0752000000
g2.2xlarge;g2.2xlarge;8;15 GiB;1 x 60 SSD;High;Intel Xeon E5-2670 (Sandy Bridge);2.6 GHz;-;-;-;-;-;0.8720000000;1.2350000000;;0.9878000000;;0.7670000000;4.1980000000;1.0530000000;3.9130000000;0.0500000000;;1.1640000000;;;0.7720000000;;
c5d.large;c5d.large;2;4 GiB;1 x 50 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;0.2780000000;0.2790000000;0.1640000000;0.1170000000;0.2080000000;0.1840000000;0.0960000000;0.1690000000;0.6100000000;;0.5950000000;0.1340000000;0.1740000000;;0.2200000000;;
m5d.2xlarge;m5d.2xlarge;8;32 GiB;1 x 300 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;0.7110000000;0.6990000000;0.9830000000;0.6910000000;3.6090000000;3.8720000000;0.8470000000;1.8070000000;3.6230000000;;1.5190000000;3.9360000000;3.5040000000;;1.8980000000;;
z1d.xlarge;z1d.xlarge;4;32 GiB;1 x 150 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8151;;-;-;-;-;-;;0.7310000000;;;;1.0800000000;1.0360000000;1.0580000000;0.6380000000;;;;;;0.9020000000;;
p2.16xlarge;p2.16xlarge;64;768 GiB;EBS only;20 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;21.3160000000;27.6180000000;14.5000000000;23.4400000000;17.3800000000;15.6520000000;14.4000000000;14.5300000000;27.6160000000;;;24.6720000000;;30.4320000000;;;
t3.medium;t3.medium;2;4 GiB;EBS only;Low to Moderate;Intel Skylake E5 2686 v5 (2.5 GHz);;-;-;-;-;-;0.1110000000;0.0528000000;0.0600000000;0.1380000000;0.1348000000;0.0456000000;0.1092000000;0.1016000000;0.1220000000;0.0856000000;0.1072000000;0.1388000000;0.0464000000;;0.1126000000;0.0656000000;
m1.small;m1.small;1;1.7 GiB;1 x 160;Low;Intel Xeon Family;;-;-;-;-;-;;0.0580000000;;;0.0530000000;0.0770000000;0.0740000000;0.0480000000;0.1210000000;0.0580000000;;0.6290000000;;;0.0860000000;;
cr1.8xlarge;cr1.8xlarge;32;244 GiB;2 x 120 SSD;10 Gigabit;Intel Xeon E5-2670;;-;-;-;-;-;;;;;;3.7500000000;3.6000000000;3.5000000000;4.2350000000;;;;;;;;
t3.2xlarge;t3.2xlarge;8;32 GiB;EBS only;Moderate;Intel Skylake E5 2686 v5 (2.5 GHz);;-;-;-;-;-;0.6664000000;0.5524000000;3.4800000000;0.5460000000;1.4976000000;0.6472000000;0.4628000000;3.4800000000;1.3952000000;0.6848000000;3.5248000000;0.7048000000;0.5064000000;;0.5440000000;1.4848000000;
x1e.4xlarge;x1e.4xlarge;16;488 GiB;1 x 480 SSD;Up to 10 Gigabit;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;-;-;Yes;7.3240000000;;;;4.5300000000;5.0060000000;10.0720000000;3.8000000000;6.7560000000;;;7.9760000000;;;;;
g3.4xlarge;g3.4xlarge;16;122 GiB;EBS only;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;Yes;Yes;Yes;-;Yes;1.5675000000;1.6700000000;1.3540000000;;2.0560000000;1.4310000000;1.2400000000;1.2400000000;1.8380000000;;;2.4900000000;1.6576000000;;1.6874000000;;
t3.small;t3.small;2;2 GiB;EBS only;Low to Moderate;Intel Skylake E5 2686 v5 (2.5 GHz);;-;-;-;-;-;0.0240000000;0.1124000000;0.0392000000;0.1120000000;0.0554000000;0.0412000000;0.0518000000;0.0884000000;0.0582000000;0.0336000000;0.0836000000;0.0264000000;0.1092000000;;0.0432000000;0.0236000000;
f1.16xlarge;f1.16xlarge;64;976 GiB;EBS only;20 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);;-;-;-;-;-;;;;;15.9400000000;14.6200000000;13.3000000000;13.3300000000;;;;;;;15.3040000000;;
hs1.8xlarge;hs1.8xlarge;17;117 GiB;24 x 2000;10 Gigabit;Intel Xeon E5-2650;2 GHz;-;-;-;-;-;;5.7000000000;;;5.5200000000;5.1440000000;4.6000000000;4.7300000000;5.5300000000;;;5.9010000000;;;;;
h1.2xlarge;h1.2xlarge;8;32 GiB;1 x 2000 HDD;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;;;1.4580000000;;;4.0210000000;1.4280000000;3.4980000000;;;;;;;;;
m2.2xlarge;m2.2xlarge;4;34.2 GiB;1 x 850;Moderate;Intel Xeon Family;;-;-;-;-;-;;0.9350000000;;;1.0260000000;1.4890000000;0.6900000000;0.7590000000;0.7330000000;0.7100000000;;1.8190000000;;;0.7050000000;;
cc2.8xlarge;cc2.8xlarge;32;60.5 GiB;4 x 840;10 Gigabit;Intel Xeon E5-2670;2.6 GHz;-;-;-;-;-;;;;;2.7750000000;2.3500000000;2.0000000000;2.1300000000;4.7330000000;;;;;;;;
m2.xlarge;m2.xlarge;2;17.1 GiB;1 x 420;Moderate;Intel Xeon Family;;-;-;-;-;-;;0.4080000000;;;0.5330000000;0.3800000000;0.2450000000;0.3300000000;0.4450000000;0.6850000000;;0.2960000000;;;0.2750000000;;
m2.4xlarge;m2.4xlarge;8;68.4 GiB;2 x 840;High;Intel Xeon Family;;-;-;-;-;-;;1.8700000000;;;1.1710000000;1.5180000000;1.1100000000;1.0780000000;1.4100000000;1.6910000000;;1.3010000000;;;2.0280000000;;
d2;d2;36;NA;NA;NA;Intel Xeon E5-2676v3 (Haswell);2.4 GHz;-;-;-;-;-;6.9870000000;7.6560000000;6.0720000000;7.4270000000;7.2860000000;6.4680000000;6.0720000000;6.0720000000;7.4270000000;;6.7910000000;7.6560000000;6.6790000000;7.2730000000;;6.7940000000;7.4270000000
c1.medium;c1.medium;2;1.7 GiB;1 x 350;Moderate;Intel Xeon Family;;-;-;-;-;-;;0.1800000000;;;0.1730000000;0.2230000000;0.2100000000;0.1300000000;0.2580000000;0.1970000000;;0.2400000000;;;0.1630000000;;
c1.xlarge;c1.xlarge;8;7 GiB;4 x 420;High;Intel Xeon Family;;-;-;-;-;-;;1.1600000000;;;0.6910000000;0.7810000000;0.9240000000;2.3360000000;1.1350000000;0.8480000000;;0.7550000000;;;0.6510000000;;
c3;c3;32;NA;NA;NA;Intel Xeon E5-2680 v2 (Ivy Bridge);2.8 GHz;-;-;-;-;-;2.2700000000;2.3290000000;;;2.2180000000;2.1030000000;1.8480000000;1.8480000000;2.2470000000;2.8600000000;;2.3290000000;;;2.1030000000;;
g3;g3;64;NA;NA;NA;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;Yes;Yes;Yes;-;-;6.2700000000;7.3480000000;5.0160000000;;5.8080000000;5.3240000000;;5.0160000000;6.9520000000;;;7.7180000000;6.2300000000;;6.7500000000;;
m5;m5;96;NA;NA;NA;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;-;6.0720000000;6.3360000000;5.0690000000;6.2300000000;6.3890000000;5.6500000000;5.0690000000;5.0690000000;6.5470000000;8.0780000000;5.8610000000;6.3360000000;5.6500000000;5.3330000000;5.9140000000;;
p3;p3;64;488 GiB;NA;NA;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;-;33.6420000000;43.8330000000;26.9280000000;43.8330000000;32.3140000000;29.0840000000;26.9280000000;26.9280000000;46.1380000000;;31.5830000000;43.8330000000;29.6210000000;;;;
m5d;m5d;96;NA;NA;NA;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;-;7.1810000000;7.4450000000;5.9660000000;7.3390000000;;6.6530000000;5.9660000000;5.9660000000;7.7090000000;;6.9170000000;7.4980000000;6.6530000000;;7.0220000000;;
r3;r3;32;NA;NA;NA;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;-;3.5210000000;3.5110000000;2.9260000000;3.5110000000;3.5110000000;3.2600000000;2.9260000000;2.9260000000;3.5110000000;6.1570000000;;3.5110000000;;3.3350000000;3.2600000000;;
m1.large;m1.large;2;7.5 GiB;2 x 420;Moderate;Intel Xeon Family;;-;-;-;-;-;;0.4100000000;;;0.2710000000;0.2090000000;0.3290000000;0.1930000000;0.2430000000;1.2010000000;;0.3560000000;;;0.2090000000;;
x1e;x1e;128;NA;NA;NA;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;Yes;-;-;41.0780000000;;;;35.2000000000;35.2000000000;29.3570000000;29.3570000000;42.5570000000;;;42.5570000000;;;;;
