Instance Type;GPUs;vCPU;Memory (GiB);Storage (GB);Networking Performance;Physical Processor;Clock Speed (GHz);Intel AVX;Intel AVX2;Intel Turbo;EBS OPT;Enhanced Network;EU (Frankfurt);Asia Pacific (Singapore);US East (Ohio);Asia Pacific (Seoul);AWS GovCloud (US);EU (Ireland);US East (N. Virginia);US West (Oregon);Asia Pacific (Tokyo);South America (Sao Paulo);EU (London);Asia Pacific (Sydney);Canada (Central);Asia Pacific (Mumbai);US West (N. California);EU (Paris);Asia Pacific (Osaka-Local)
m4.xlarge;m4.xlarge;4;16 GiB;EBS only;High;Intel Xeon E5-2676 v3 (Haswell);2.4  GHz;-;-;-;-;Yes;0.3000000000;0.9390000000;0.2000000000;0.9346000000;0.9412000000;0.8860000000;0.2200000000;0.4390000000;0.9220000000;1.8180000000;0.7352000000;1.7750000000;0.3442000000;0.3100000000;0.9214000000;;0.7638000000
z1d.12xlarge;z1d.12xlarge;48;384 GiB;2 x 900 NVMe SSD;25 Gigabit;Intel Xeon Platinum 8151;;-;-;-;-;-;;23.4240000000;;;;7.2000000000;4.5940000000;7.4830000000;25.6560000000;;;;;;23.0640000000;;
r4.large;r4.large;2;15.25 GiB;EBS only;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;0.2436000000;0.6560000000;0.6130000000;0.2600000000;0.3226000000;0.2630000000;0.1930000000;0.2380000000;0.2600000000;0.7880000000;0.7436000000;0.2596000000;0.2530000000;0.2107000000;0.2402000000;0.2636000000;0.3390000000
c3.large;c3.large;2;3.75 GiB;2 x 16 SSD;Moderate;Intel Xeon E5-2680 v2 (Ivy Bridge);2.8 GHz;-;-;-;-;Yes;0.4800000000;0.2000000000;;0.2267200000;0.3210000000;0.1800000000;0.6170000000;0.5610000000;0.1280000000;0.2460000000;;0.2450000000;;;0.6120000000;;0.2080000000
r5.xlarge;r5.xlarge;4;32 GiB;EBS only;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;0.9860000000;0.5560000000;0.3770000000;1.8220000000;2.0040000000;0.2820000000;0.2670000000;0.9310000000;0.4880000000;;0.4210000000;0.8000000000;1.9600000000;;0.4220000000;0.4210000000;
m5d.24xlarge;m5d.24xlarge;96;384 GiB;4 x 900 NVMe SSD;25 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;22.4640000000;22.7040000000;9.8400000000;8.2940000000;47.2800000000;21.9840000000;5.5240000000;16.9440000000;7.1380000000;;42.2880000000;12.8540000000;42.0480000000;;6.3840000000;;
r4.16xlarge;r4.16xlarge;64;488 GiB;EBS only;20 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;9.1930000000;9.1910000000;28.2560000000;15.7440000000;9.1780000000;4.8724000000;31.2000000000;11.9360000000;5.1200000000;9.0600000000;4.9920000000;8.0510000000;5.7536000000;4.4840000000;15.3600000000;28.9920000000;8.0640000000
i3.16xlarge;i3.16xlarge;64;488 GiB;8 x 1900 NVMe SSD;20 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;6.0820000000;13.6640000000;7.9360000000;29.8560000000;6.1460000000;32.4480000000;7.9360000000;7.9360000000;13.5360000000;12.0960000000;16.4160000000;6.0840000000;5.6040000000;5.7940000000;6.5860000000;5.7920000000;32.8000000000
g3.8xlarge;g3.8xlarge;32;244 GiB;EBS only;10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;Yes;Yes;Yes;-;Yes;4.6070000000;3.6740000000;2.5080000000;;2.7400000000;2.6620000000;3.7520000000;3.7520000000;3.6060000000;;;3.5080000000;4.5872000000;;3.0680000000;;
m5d.12xlarge;m5d.12xlarge;48;192 GiB;2 x 900 NVMe SSD;10 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;3.6150000000;11.3520000000;22.9200000000;23.7420000000;21.6570000000;5.2320000000;2.7120000000;2.7120000000;9.4960000000;;11.1120000000;5.6160000000;21.2080000000;;23.4000000000;;
z1d.2xlarge;z1d.2xlarge;8;64 GiB;1 x 300 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8151;;-;-;-;-;-;;3.9040000000;;;;1.8430000000;1.7040000000;3.7440000000;1.0980000000;;;;;;1.3990000000;;
c5.xlarge;c5.xlarge;4;8 GiB;EBS only;Up to 10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;0.1940000000;0.4600000000;1.8540000000;0.1920000000;0.3880000000;0.3760000000;0.6600000000;0.2300000000;0.3290000000;0.9260000000;1.8990000000;0.7150000000;0.3700000000;0.4330000000;0.2260000000;0.3020000000;
x1e.32xlarge;x1e.32xlarge;128;3,904 GiB;2 x 1,920 SSD;25 Gigabit;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;Yes;-;Yes;37.4440000000;;;;85.8880000000;32.0000000000;26.6880000000;26.8180000000;92.5760000000;;;44.5760000000;;;;;
r5.2xlarge;r5.2xlarge;8;64 GiB;EBS only;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;0.6440000000;0.7380000000;3.9020000000;1.9360000000;4.0080000000;3.5640000000;0.9020000000;1.8620000000;4.0120000000;;0.7220000000;1.6000000000;3.5520000000;;1.0970000000;1.1310000000;
c4.large;c4.large;2;3.75 GiB;EBS only;Moderate;Intel Xeon E5-2666 v3 (Haswell);2.9 GHz;-;-;-;-;Yes;0.1250000000;0.2150000000;1.3290000000;0.2170000000;0.1920000000;0.2160000000;0.3310000000;1.3190000000;0.2310000000;0.3180000000;1.3500000000;0.1980000000;0.1100000000;0.1000000000;1.3430000000;;0.2260000000
r5d.2xlarge;r5d.2xlarge;8;64 GiB;1 x 300 NVMe SSD;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;2.0620000000;1.6560000000;1.9040000000;0.8270000000;;1.0470000000;3.6110000000;3.9790000000;0.8740000000;;4.0850000000;1.6560000000;0.8050000000;;1.6080000000;;
c5d.18xlarge;c5d.18xlarge;72;144 GiB;1 x 1800 NVMe SSD;25 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;8.5250000000;8.5610000000;30.4560000000;4.0600000000;7.4880000000;7.2360000000;3.5560000000;12.0960000000;7.7040000000;;4.2700000000;4.6660000000;3.9460000000;;4.4500000000;;
r3.8xlarge;r3.8xlarge;32;244 GiB;2 x 320 SSD;10 Gigabit;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;3.2010000000;7.0400000000;14.6560000000;7.0400000000;3.3220000000;3.0940000000;14.6560000000;3.5000000000;4.5770000000;17.6000000000;;3.2920000000;;3.5810000000;8.8990000000;;7.0400000000
m5.24xlarge;m5.24xlarge;96;384 GiB;EBS only;25 Gigabit;Intel Xeon Platinum 8175;2.5 GHz;-;-;-;-;Yes;45.9360000000;46.1760000000;16.1280000000;17.1840000000;11.8460000000;21.0720000000;4.7080000000;4.6080000000;17.4720000000;8.9660000000;5.3280000000;11.7980000000;5.2660000000;40.8480000000;5.4760000000;41.3760000000;
r5d.12xlarge;r5d.12xlarge;48;384 GiB;2 x 900 NVMe SSD;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;7.4240000000;4.3260000000;3.8140000000;4.5510000000;;22.0730000000;3.5860000000;3.7940000000;24.3840000000;;4.2060000000;5.2400000000;4.1710000000;;4.2750000000;;
r3.4xlarge;r3.4xlarge;16;122 GiB;1 x 320 SSD;High;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;1.6000000000;0.1000000000;1.5630000000;1.7560000000;1.7260000000;3.4000000000;3.2480000000;2.1380000000;8.4920000000;8.8000000000;;1.8560000000;;5.0840000000;1.7600000000;;7.6000000000
m3.2xlarge;m3.2xlarge;8;30 GiB;2 x 80 SSD;High;Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge);2.5 GHz;-;-;-;-;-;3.6950000000;0.8620000000;;0.8046500000;4.0400000000;0.5850000000;0.5850000000;1.4960000000;0.9000000000;0.8910000000;;0.7450000000;;;4.0460000000;;3.7680000000
x1.32xlarge;x1.32xlarge;128;1,952 GiB;2 x 1920 SSD;High;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;Yes;-;Yes;39.9220000000;34.7020000000;67.2260000000;67.3420000000;69.8940000000;16.1060000000;15.5010000000;67.2260000000;19.4410000000;26.1400000000;70.6900000000;19.4410000000;20.5600000000;33.7340000000;;38.0540000000;
d2.8xlarge;d2.8xlarge;36;244 GiB;24 x 2000 HDD;10 Gigabit;Intel Xeon E5-2676v3 (Haswell);2.4 GHz;-;-;-;-;Yes;6.3520000000;7.0600000000;5.6500000000;20.2520000000;21.7800000000;21.0360000000;5.6200000000;19.0200000000;6.8520000000;;6.1740000000;7.0900000000;21.2300000000;6.6120000000;19.7480000000;6.2760000000;8.4080000000
i2.2xlarge;i2.2xlarge;8;61 GiB;2 x 800 SSD;High;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;3.5450000000;2.3690000000;1.8760000000;5.0020000000;0.0500000000;1.9460000000;2.1850000000;5.0730000000;5.3690000000;0.0500000000;;2.2390000000;;2.1260000000;5.2440000000;;
r4.xlarge;r4.xlarge;4;30.5 GiB;EBS only;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;0.8320000000;0.5750000000;0.9300000000;0.5750000000;0.4192000000;0.4260000000;0.9566000000;0.4500000000;2.0360000000;1.0400000000;0.4108000000;2.0350000000;0.4210000000;0.9380000000;0.4804000000;0.3720000000;0.8320000000
t2.small;t2.small;1;2 GiB;EBS only;Low to Moderate;Intel Xeon Family;Up to 3.3 GHz;-;-;-;-;-;0.0568000000;0.0292000000;0.0320000000;0.0288000000;0.0272000000;0.0340000000;0.1034000000;0.1034000000;0.0304000000;0.1174000000;0.0860000000;0.0968000000;0.0556000000;0.0588000000;0.0576000000;0.0940000000;0.0304000000
c5d.4xlarge;c5d.4xlarge;16;32 GiB;1 x 400 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;1.0180000000;7.6320000000;0.8680000000;0.9360000000;3.5840000000;7.6080000000;7.5040000000;6.8140000000;1.1420000000;;7.7160000000;1.1700000000;0.9780000000;;1.0230000000;;
m4.10xlarge;m4.10xlarge;40;160 GiB;EBS only;10 Gigabit;Intel Xeon E5-2676 v3 (Haswell);2.4 GHz;-;-;-;-;Yes;2.5300000000;2.6000000000;3.8400000000;2.5900000000;5.0640000000;4.8420000000;4.5820000000;3.8400000000;2.6800000000;3.3100000000;19.1600000000;3.1760000000;8.8600000000;2.7760000000;3.0160000000;;19.4200000000
t3.nano;t3.nano;2;0.5 GiB;EBS only;Low;Intel Skylake E5 2686 v5 (2.5 GHz);;-;-;-;-;-;0.0060000000;0.0112000000;0.0052000000;0.0065000000;0.0107000000;0.0057000000;0.0052000000;0.0052000000;0.0068000000;0.0084000000;0.0059000000;0.0112000000;0.0104000000;;0.0108000000;0.0059000000;
p2.xlarge;p2.xlarge;4;61 GiB;EBS only;High;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;1.5590000000;1.7180000000;1.0000000000;1.7120000000;1.2640000000;1.0690000000;1.0900000000;1.0500000000;1.6960000000;;;1.6020000000;;1.9500000000;;;
t3.large;t3.large;2;8 GiB;EBS only;Low to Moderate;Intel Skylake E5 2686 v5 (2.5 GHz);;-;-;-;-;-;0.1636000000;0.1732000000;0.0832000000;0.1716000000;0.1928000000;0.0912000000;0.0832000000;0.0832000000;0.1688000000;0.1974000000;0.0944000000;0.1686000000;0.0928000000;;0.0992000000;0.0944000000;
r5.large;r5.large;2;16 GiB;EBS only;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;0.2290000000;0.7240000000;0.1260000000;0.2210000000;0.2230000000;0.2090000000;0.6060000000;0.2930000000;0.2210000000;;0.2080000000;0.7320000000;0.2060000000;;0.2400000000;0.7200000000;
c3.2xlarge;c3.2xlarge;8;15 GiB;2 x 80 SSD;High;Intel Xeon E5-2680 v2 (Ivy Bridge);2.8 GHz;-;-;-;-;Yes;0.7030000000;2.3440000000;;0.5058900000;0.8360000000;2.1310000000;2.3440000000;0.8270000000;1.5230000000;0.8150000000;;1.5410000000;;;0.6260000000;;0.6980000000
r5.4xlarge;r5.4xlarge;16;128 GiB;EBS only;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;1.3460000000;2.0250000000;2.0140000000;1.3660000000;7.2080000000;2.2020000000;7.7440000000;1.1380000000;7.2890000000;;1.5250000000;3.2000000000;7.1700000000;;1.3900000000;7.1840000000;
z1d.large;z1d.large;2;16 GiB;1 x 75 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8151;;-;-;-;-;-;;0.3000000000;;;;0.2680000000;0.1970000000;0.7580000000;0.8130000000;;;;;;0.3830000000;;
m4.16xlarge;m4.16xlarge;64;256 GiB;EBS only;20 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;11.5200000000;28.0000000000;4.2816000000;14.5600000000;6.9760000000;4.6336000000;4.2816000000;27.2000000000;31.0720000000;5.1880000000;14.3360000000;4.0000000000;3.5520000000;6.3040000000;4.8256000000;;5.2096000000
