Name
EU (Frankfurt)
Asia Pacific (Singapore)
US East (Ohio)
Asia Pacific (Seoul)
AWS GovCloud (US)
EU (Ireland)
US East (N. Virginia)
US West (Oregon)
Asia Pacific (Tokyo)
South America (Sao Paulo)
EU (London)
Asia Pacific (Sydney)
Canada (Central)
Asia Pacific (Mumbai)
US West (N. California)
EU (Paris)
Asia Pacific (Osaka-Local)
